guid,time,value
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.11312069,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.113586207,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.114051724,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.114517241,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.114982759,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.115448276,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.115913793,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.11637931,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.116844828,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.117310345,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.117775862,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.118241379,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.118706897,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.119172414,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.119637931,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.120103448,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.120568966,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.121034483,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.1215,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.121965517,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.122431034,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.122896552,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.123362069,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.123827586,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.124293103,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.124758621,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.125224138,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.125689655,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.126155172,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.12662069,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.127086207,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.127551724,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.128017241,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.128482759,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.128948276,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.129413793,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.12987931,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.130344828,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.130810345,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.131275862,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.131741379,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.132206897,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.132672414,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.133137931,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.133603448,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.134068966,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.134534483,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.135,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.135465517,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.135931034,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.136396552,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.136862069,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.137327586,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.137793103,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.138258621,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.138724138,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.139189655,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.139655172,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.14012069,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.140586207,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.141051724,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.141517241,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.141982759,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.142448276,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.142913793,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.14337931,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.143844828,0.0
